City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Puerto Escondido,MX,2020-10-16 11:04:34,15.85,-97.07,78.01,75,26,4.52
1,Kavaratti,IN,2020-10-16 11:05:12,10.57,72.64,81.7,77,12,18.68
2,Saskylakh,RU,2020-10-16 11:05:12,71.92,114.08,10.94,95,88,4.5
3,Arrondissement de Dieppe,FR,2020-10-16 11:05:12,49.75,1.17,55.0,71,90,9.17
4,Puerto Ayora,EC,2020-10-16 11:05:12,-0.74,-90.35,70.0,90,94,3.0
5,Saldanha,ZA,2020-10-16 11:03:53,-33.01,17.94,87.8,51,18,3.36
6,Lagoa,PT,2020-10-16 11:05:12,39.05,-27.98,66.47,86,57,18.54
7,Rikitea,PF,2020-10-16 11:05:12,-23.12,-134.97,73.63,78,100,16.71
8,Castro,BR,2020-10-16 11:03:26,-24.79,-50.01,56.86,84,79,9.26
9,Arraial do Cabo,BR,2020-10-16 11:03:26,-22.97,-42.03,71.6,78,75,5.82
10,Bentiu,SS,2020-10-16 11:05:13,9.23,29.83,98.53,38,51,1.36
11,Yar-Sale,RU,2020-10-16 11:05:13,66.83,70.83,31.66,98,100,12.97
12,Albany,US,2020-10-16 11:05:13,42.6,-73.97,52.0,89,100,4.7
13,Sulangan,PH,2020-10-16 11:05:13,11.14,123.72,83.53,75,100,8.37
14,Busselton,AU,2020-10-16 11:05:13,-33.65,115.33,60.01,44,0,15.35
15,Bariloche,AR,2020-10-16 11:05:14,-41.15,-71.31,37.4,69,0,2.24
16,Río Gallegos,AR,2020-10-16 11:05:14,-51.62,-69.22,41.0,59,75,5.82
17,Bathsheba,BB,2020-10-16 11:05:14,13.22,-59.52,82.4,78,40,13.87
18,Ushuaia,AR,2020-10-16 11:05:14,-54.8,-68.3,37.4,100,40,4.54
19,Bambous Virieux,MU,2020-10-16 11:05:14,-20.34,57.76,82.4,58,40,12.75
20,Muros,ES,2020-10-16 11:05:14,42.78,-9.06,59.0,70,61,1.01
21,Nouadhibou,MR,2020-10-16 11:04:23,20.93,-17.03,82.4,48,0,12.75
22,Jamestown,US,2020-10-16 11:05:15,42.1,-79.24,44.01,93,90,5.82
23,Dikson,RU,2020-10-16 11:05:15,73.51,80.55,28.71,93,91,8.55
24,Oodweyne,SO,2020-10-16 11:05:15,9.41,45.06,88.54,17,0,1.36
25,Korla,CN,2020-10-16 11:01:02,41.76,86.15,59.47,31,0,6.26
26,Hobart,AU,2020-10-16 11:05:15,-42.88,147.33,48.2,57,43,9.17
27,Anito,PH,2020-10-16 11:05:15,12.45,125.29,79.86,80,96,3.11
28,Carnarvon,AU,2020-10-16 11:05:16,-24.87,113.63,71.6,78,0,27.51
29,Ancud,CL,2020-10-16 11:03:56,-41.87,-73.82,45.0,100,5,3.36
30,Vaini,TO,2020-10-16 11:05:16,-21.2,-175.2,75.2,94,90,8.05
31,Saint-François,FR,2020-10-16 11:05:16,46.42,3.91,51.01,93,90,6.93
32,Stykkisholmur,IS,2020-10-16 11:05:16,65.08,-22.73,45.16,77,25,1.16
33,Buckeye,US,2020-10-16 11:03:56,33.37,-112.58,78.01,22,0,5.23
34,Atuona,PF,2020-10-16 11:05:17,-9.8,-139.03,78.06,77,2,19.93
35,Leningradskiy,RU,2020-10-16 11:05:17,69.38,178.42,36.03,90,100,18.92
36,Upernavik,GL,2020-10-16 11:05:17,72.79,-56.15,34.57,80,99,5.57
37,Tuatapere,NZ,2020-10-16 11:05:17,-46.13,167.68,46.0,77,95,3.0
38,Tabuk,PH,2020-10-16 11:05:17,17.42,121.44,74.95,89,97,4.76
39,Ola,RU,2020-10-16 11:04:04,59.58,151.28,31.86,89,21,5.06
40,Mar del Plata,AR,2020-10-16 11:05:18,-38.0,-57.56,57.99,100,90,9.17
41,Moctezuma,MX,2020-10-16 11:05:18,29.8,-109.67,72.32,21,4,4.09
